Task,cc_de_300,deepset_gbert-base,distilbert-base-multilingual-cased,xlm-roberta-base,uklfr_gottbert-base
Party Prediction: Twitter,0.4329781894246702,0.8913956958237084,0.8875930144781806,0.8799463345213285,0.8951103004569934
AUTNES Topics 2019,0.1572414441064055,0.6141732283464567,0.4760039177277179,0.394655704008222,0.5682656826568265
Party Prediction: Press Releases,0.5661919498267391,0.711684681790796,0.7103410023445351,0.7093035659983111,0.71261148612189
Party Prediction: Facebook,0.6730791019520866,0.8550590774672141,0.8355350254726291,0.836213851655085,0.8565923070851416
AUTNES Sentiment,0.5080426606109998,0.6673679794288679,0.5905710719769365,0.649514046744769,0.6703847455659818
Party Prediction: Parliament,0.403168290617751,0.6523025259659346,0.5633887582846702,0.5554502950071145,0.6465761271660438
AUTNES Topics 2017,0.1797770507694172,0.5961538461538461,0.5892351274787536,0.5739644970414202,0.6285714285714287
