Task,cc_de_300,deepset_gbert-base,distilbert-base-multilingual-cased,uklfr_gottbert-base,xlm-roberta-base
Best match (Semantic),0.7666666666666667,0.1574074074074074,0.04259259259259259,0.08888888888888889,0.06666666666666667
Syntactic,0.6573597735697394,0.1446,0.0198,0.023700000000000002,0.10780000000000001
Opposite (Semantic),0.43666666666666665,0.48,0.06333333333333334,0.38,0.33666666666666667
Word Intrusion (Semantic),0.9545454545454546,0.4818181818181818,0.7,0.5545454545454546,0.2818181818181818
